pick_tier,pick,player_name,School,G,GS,MP,FG,FGA,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,FT,FTA,ft_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,years_played,Class,years_on_contract,rookie_salary,total_rookie_earnings,career_nba_earnings,division_level
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,
,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,
Top 3,1,Paolo Banchero,Duke,39,39,33,6.3,13.2,0.478,1.1,3.3,0.338,5.2,9.8,0.525,0.52,3.5,4.8,0.729,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2,1,Freshman,4,11055120.00,50158769.00,49158010.00,NCAA_D1
Top 3,2,Chet Holmgren,Gonzaga,32,31,26.9,5.3,8.8,0.607,1.3,3.3,0.39,4,5.5,0.737,0.68,2.2,3.1,0.717,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,1,Freshman,4,9891240.00,44889248.00,44889248.00,NCAA_D1
Top 3,3,Jabari Smith Jr.,Auburn,34,34,28.8,5.4,12.6,0.429,2.3,5.5,0.42,3.1,7,0.435,0.521,3.9,4.8,0.799,0.9,6.5,7.4,2,1.1,1,1.9,2.1,16.9,1,Freshman,4,10082608.00,40330432.00,40330432.00,NCAA_D1
Lottery,4,Keegan Murray,Iowa,66,39,25.4,5.9,10.9,0.543,1.2,3.3,0.373,4.7,7.6,0.618,0.6,2.8,3.7,0.749,2.3,4.7,7,1,1.1,1.6,0.9,1.9,15.8,2,Sophomore,4,8316720.00,33266880.00,33266880.00,NCAA_D1
Lottery,5,Jaden Ivey,Purdue,59,46,28.6,4.9,11.3,0.44,1.5,4.7,0.322,3.4,6.6,0.523,0.507,3.5,4.7,0.739,0.7,3.5,4.3,2.6,0.8,0.6,2.1,1.7,14.9,2,Sophomore,4,7782120.00,31128480.00,31128480.00,NCAA_D1
Lottery,6,Bennedict Mathurin,Arizona,63,49,29.4,4.9,10.7,0.456,1.9,5,0.383,2.9,5.6,0.521,0.546,3.2,4.1,0.789,1.3,4,5.3,2,0.9,0.2,1.5,1.8,14.8,2,Sophomore,4,7100760.00,28403040.00,28403040.00,NCAA_D1
Lottery,7,Shaedon Sharpe,Kentucky,0,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,4,6459720.00,25838880.00,25838880.00,NCAA_D1
Lottery,8,Dyson Daniels,NBA G League Ignite,0,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,4,5863560.00,23454240.00,23454240.00,G_LEAGUE
Lottery,9,Jeremy Sochan,Baylor,30,1,25.1,3.3,7,0.474,0.8,2.7,0.296,2.5,4.3,0.585,0.531,1.8,3,0.589,2,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,1,Freshman,4,5316720.00,21266880.00,21266880.00,NCAA_D1
Lottery,10,Johnny Davis,Wisconsin,62,31,29.2,4.8,11.1,0.431,0.8,2.5,0.325,4,8.5,0.462,0.468,3,3.9,0.779,1.2,5,6.2,1.6,1.1,0.7,1.7,2.1,13.4,2,Sophomore,4,4936200.00,19744800.00,19744800.00,NCAA_D1
Lottery,11,Ousmane Dieng,New Zealand Breakers,0,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,4,4718160.00,18872640.00,18872640.00,International_Pro
Lottery,12,Jalen Williams,Santa Clara,84,72,30.5,4.5,9.5,0.469,1.1,3,0.352,3.4,6.5,0.525,0.526,2.6,3.3,0.785,0.5,3.2,3.7,2.9,1.2,0.5,1.6,2.6,12.6,3,Junior,4,4506480.00,18025920.00,18025920.00,NCAA_D1
Lottery,13,Jalen Duren,Memphis,29,29,25.3,4.9,8.1,0.597,0,0,0,4.9,8.1,0.6,0.597,2.2,3.6,0.625,3,5.2,8.1,1.3,0.8,2.1,2.2,2.7,12,1,Freshman,4,4294800.00,17179200.00,17179200.00,NCAA_D1
Lottery,14,Ochai Agbaji,Kansas,122,116,32.6,4.8,10.8,0.448,2,5.5,0.373,2.8,5.3,0.526,0.542,1.8,2.5,0.714,1,3.4,4.4,1.6,1,0.5,1.7,1.8,13.5,4,Senior,4,4093200.00,16372800.00,16372800.00,NCAA_D1
1st Round,15,Mark Williams,Duke,62,54,20.5,4.2,6,0.704,0,0,0,4.2,6,0.706,0.704,1.3,1.9,0.661,2.3,4,6.3,0.8,0.5,2.3,0.9,1.8,9.7,2,Sophomore,4,3903720.00,15614880.00,15614880.00,NCAA_D1
1st Round,16,AJ Griffin,Duke,39,25,24,3.7,7.6,0.493,1.8,4.1,0.447,1.9,3.5,0.547,0.613,1.1,1.4,0.792,0.8,3.2,3.9,1,0.5,0.6,0.6,1.1,10.4,1,Freshman,4,3723120.00,14892480.00,14892480.00,NCAA_D1
1st Round,17,Tari Eason,LSU,56,12,22.4,4.6,9.1,0.504,0.6,1.9,0.327,4,7.2,0.551,0.538,3.2,4.2,0.757,2.3,4.1,6.3,1.1,1.6,1.2,2.2,2.7,13,2,Sophomore,4,3542620.00,14170480.00,14170480.00,NCAA_D1
1st Round,18,Dalen Terry,Arizona,63,51,24.9,2.4,5.1,0.477,0.7,1.9,0.35,1.8,3.2,0.552,0.542,1,1.5,0.68,1,3.2,4.2,2.9,1,0.3,1.3,2.3,6.6,2,Sophomore,4,3371760.00,13487040.00,13487040.00,NCAA_D1
1st Round,19,Jake LaRavia,Wake Forest,88,83,29.5,4.3,8.3,0.524,0.6,1.5,0.371,3.8,6.8,0.558,0.558,3,4,0.743,2.3,4,6.3,2.6,1.2,1,2.2,2.9,12.2,3,Junior,4,3209280.00,12837120.00,12837120.00,NCAA_D1
1st Round,20,Malaki Branham,Ohio State,32,31,29.6,5,10,0.498,1.2,2.8,0.416,3.8,7.3,0.53,0.556,2.5,3,0.833,0.8,2.8,3.6,2,0.7,0.3,1.7,1.8,13.7,1,Freshman,4,3055920.00,12223680.00,12223680.00,NCAA_D1
1st Round,21,Christian Braun,Kansas,101,74,28.5,3.5,7.8,0.449,1.3,3.5,0.378,2.2,4.3,0.508,0.535,1.7,2.3,0.749,1.1,3.9,5,1.8,1,0.5,1.3,1.6,10.1,3,Junior,4,2910840.00,11643360.00,11643360.00,NCAA_D1
1st Round,22,Walker Kessler,Auburn,63,34,17.9,3.4,5.7,0.601,0.2,0.9,0.204,3.2,4.8,0.671,0.616,1.2,2.1,0.577,2.1,3.7,5.8,0.6,0.8,2.9,0.8,2,8.2,2,Sophomore,4,2773560.00,11094240.00,11094240.00,NCAA_D1
